web-scraper-order,web-scraper-start-url,IATA,ICAO,Airline,Call sign,Country_Region,Comments
"1733246192-1702","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRD","Brock Air Services","BROCK AIR","Canada",""
"1733246192-1703","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRE","Breeze Ltd","AVIABREEZE","Ukraine",""
"1733246192-1704","https://en.wikipedia.org/wiki/List_of_airline_codes","8E","BRG","Bering Air","BERING AIR","United States",""
"1733246192-1705","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRK","Briansk State Air Enterprise","BRIANSK-AVIA","Russia",""
"1733246192-1706","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRN","Branson Airlines","BRANSON","United States",""
"1733246192-1707","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRO","BASE Regional Airlines","COASTRIDER","Netherlands","ICAO code in use by another company, call sign no longer allocated"
"1733246192-1708","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRS","Brazilian Air Force","BRAZILIAN AIR FORCE","Brazil",""
"1733246192-1709","https://en.wikipedia.org/wiki/List_of_airline_codes","TH","BRT","British Regional Airlines","BRITISH","United Kingdom","defunct"
"1733246192-1710","https://en.wikipedia.org/wiki/List_of_airline_codes","B2","BRU","Belavia Belarusian Airlines","BELARUS AVIA","Belarus",""
"1733246192-1711","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRV","Bravo Air Congo","BRAVO","Democratic Republic of the Congo","defunct"
"1733246192-1712","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRW","Bright Aviation Services","BRIGHT SERVICES","Bulgaria",""
"1733246192-1713","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRX","Buffalo Express Airlines","BUFF EXPRESS","United States",""
"1733246192-1714","https://en.wikipedia.org/wiki/List_of_airline_codes","","BRY","Burundayavia","BURAIR","Kazakhstan",""
"1733246192-1715","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSC","Bistair - Fez","BIG SHOT","Kyrgyzstan",""
"1733246192-1716","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSD","Blue Star Airlines","AIRLINES STAR","Mexico",""
"1733246192-1717","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSI","Brasair Transportes Aéreos","BRASAIR","Brazil",""
"1733246192-1718","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSJ","Blue Swan Aviation","BLUE SWAN","United Kingdom","ICAO Code and callsign (BSJ/BLUE SWAN) withdrawn"
"1733246192-1719","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSM","Blue Sky Aviation","","Lebanon",""
"1733246192-1720","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSS","Bissau Aero Transporte","BISSAU AIRSYSTEM","Guinea-Bissau",""
"1733246192-1721","https://en.wikipedia.org/wiki/List_of_airline_codes","","BST","Best Air","TUNCA","Turkey",""
"1733246192-1722","https://en.wikipedia.org/wiki/List_of_airline_codes","","BSW","Blue Sky Airways","SKY BLUE","Czech Republic",""
"1733246192-1723","https://en.wikipedia.org/wiki/List_of_airline_codes","GQ","BSY","Big Sky Airlines","BIG SKY","United States",""
"1733246192-1724","https://en.wikipedia.org/wiki/List_of_airline_codes","","BTI","Air Baltic","Air Baltic","Latvia",""
"1733246192-1725","https://en.wikipedia.org/wiki/List_of_airline_codes","ID","BTK","Batik Air","BATIK","Indonesia",""
"1733246192-1726","https://en.wikipedia.org/wiki/List_of_airline_codes","4B","BTQ","Boutique Air","BOUTIQUE","United States",""
"1733246192-1727","https://en.wikipedia.org/wiki/List_of_airline_codes","","BTR","Botir-Avia","BOTIR-AVIA","Kyrgyzstan",""
"1733246192-1728","https://en.wikipedia.org/wiki/List_of_airline_codes","","BTT","BT-Slavuta","BEETEE-SLAVUTA","Ukraine",""
"1733246192-1729","https://en.wikipedia.org/wiki/List_of_airline_codes","Y6","BTV","Batavia Air","BATAVIA","Indonesia","As of June 1, 2010, IATA code changed to Y6."
"1733246192-1730","https://en.wikipedia.org/wiki/List_of_airline_codes","L9","BTZ","Bristow U.S. LLC","BRISTOW","United States",""
"1733246192-1731","https://en.wikipedia.org/wiki/List_of_airline_codes","1T","BUC","Bulgarian Air Charter","BULGARIAN CHARTER","Bulgaria",""
"1733246192-1732","https://en.wikipedia.org/wiki/List_of_airline_codes","","BUL","Blue Airlines","BLUE AIRLINES","Democratic Republic of the Congo",""
"1733246192-1733","https://en.wikipedia.org/wiki/List_of_airline_codes","BU","BUN","Buryat Airlines Aircompany","BURAL","Russia",""
"1733246192-1734","https://en.wikipedia.org/wiki/List_of_airline_codes","","BUZ","Buzz Stansted","BUZZ","United Kingdom",""
"1733246192-1735","https://en.wikipedia.org/wiki/List_of_airline_codes","","BVA","Buffalo Airways","BUFFALO AIR","United States",""
"1733246192-1736","https://en.wikipedia.org/wiki/List_of_airline_codes","","BVC","Bulgarian Aeronautical Centre","BULGARIAN WINGS","Bulgaria",""
"1733246192-1737","https://en.wikipedia.org/wiki/List_of_airline_codes","","BVN","Baron Aviation Services","SHOW-ME","United States",""
"1733246192-1738","https://en.wikipedia.org/wiki/List_of_airline_codes","J8","BVT","Berjaya Air","BERJAYA","Malaysia",""
"1733246192-1739","https://en.wikipedia.org/wiki/List_of_airline_codes","B3","BVU","Bellview Airlines, Sierra Leone","BELLVIEW AIRLINES","Sierra Leone",""
"1733246192-1740","https://en.wikipedia.org/wiki/List_of_airline_codes","","BWD","Bluewest Helicopters-Greenland","BLUEWEST","Denmark",""
"1733246192-1741","https://en.wikipedia.org/wiki/List_of_airline_codes","QW","BWG","Blue Wings","BLUE WINGS","Germany","defunct"
"1733246192-1742","https://en.wikipedia.org/wiki/List_of_airline_codes","","BWI","Blue Wing Airlines","BLUE TAIL","Suriname",""
"1733246192-1743","https://en.wikipedia.org/wiki/List_of_airline_codes","","BWL","British World Airlines","BRITWORLD","United Kingdom",""
"1733246192-1744","https://en.wikipedia.org/wiki/List_of_airline_codes","","BXH","Bar XH Air","PALLISER","Canada",""
"1733246192-1745","https://en.wikipedia.org/wiki/List_of_airline_codes","SN","BXI","Brussels Airlines","XENIA","Belgium","defunct as Brussels International Airlines in 2001"
"1733246192-1746","https://en.wikipedia.org/wiki/List_of_airline_codes","","BYA","Berry Aviation","BERRY","United States",""
"1733246192-1747","https://en.wikipedia.org/wiki/List_of_airline_codes","","BYC","Cambodia Bayon Airlines","Bayon Air","Cambodia",""
"1733246192-1748","https://en.wikipedia.org/wiki/List_of_airline_codes","","BYF","San Carlos Flight Center","BAY FLIGHT","United States",""
"1733246192-1749","https://en.wikipedia.org/wiki/List_of_airline_codes","","BYL","Bylina Joint-Stock Company","BYLINA","Russia",""
"1733246192-1750","https://en.wikipedia.org/wiki/List_of_airline_codes","","BYR","Berytos Airlines","","Lebanon",""
"1733246192-1751","https://en.wikipedia.org/wiki/List_of_airline_codes","","BYE","Bayu Indonesia Air","BAYU","Indonesia",""
"1733246192-1752","https://en.wikipedia.org/wiki/List_of_airline_codes","","BZA","Bizair Fluggesellschaft","BERLIN BEAR","Germany",""
"1733246192-1753","https://en.wikipedia.org/wiki/List_of_airline_codes","DB","BZH","Brit Air","BRITAIR","France",""
"1733246192-1754","https://en.wikipedia.org/wiki/List_of_airline_codes","","BZZ","Butane Buzzard Aviation Corporation","BUZZARD","United Kingdom",""
"1733246192-1755","https://en.wikipedia.org/wiki/List_of_airline_codes","JD","CBJ","Beijing Capital Airlines","CAPITAL JET","China",""
"1733246192-1756","https://en.wikipedia.org/wiki/List_of_airline_codes","","CKM","BKS Air (Rivaflecha)","COSMOS","Spain",""
"1733246192-1757","https://en.wikipedia.org/wiki/List_of_airline_codes","","CLF","Bristol Flying Centre","CLIFTON","United Kingdom",""
"1733246192-1758","https://en.wikipedia.org/wiki/List_of_airline_codes","","CLN","Barnes Olsen Aeroleasing","SEELINE","United Kingdom",""
"1733246192-1759","https://en.wikipedia.org/wiki/List_of_airline_codes","E9","CXS","Boston-Maine Airways","CLIPPER CONNECTION","United States","Pan Am Clipper Connection Pan Am III"
"1733246192-1760","https://en.wikipedia.org/wiki/List_of_airline_codes","SN","BEL","Brussels Airlines","BEE-LINE","Belgium",""
"1733246192-1761","https://en.wikipedia.org/wiki/List_of_airline_codes","","EBA","Bond Aviation","BOND AVIATION","Italy",""
"1733246192-1762","https://en.wikipedia.org/wiki/List_of_airline_codes","","EXB","Brazilian Army Aviation","BRAZILIAN ARMY","Brazil",""
"1733246192-1763","https://en.wikipedia.org/wiki/List_of_airline_codes","","EXP","Business Express Delivery","EXPRESS AIR","Canada",""
"1733246192-1764","https://en.wikipedia.org/wiki/List_of_airline_codes","","FOS","Bel Limited","","Russia",""
"1733246192-1765","https://en.wikipedia.org/wiki/List_of_airline_codes","","GAA","Business Express","BIZEX","United States",""
"1733246192-1766","https://en.wikipedia.org/wiki/List_of_airline_codes","","HAW","Bangkok Aviation Center","THAI HAWK","Thailand",""
"1733246192-1767","https://en.wikipedia.org/wiki/List_of_airline_codes","","HAX","Benair","SCOOP","Norway",""
"1733246192-1768","https://en.wikipedia.org/wiki/List_of_airline_codes","NT","IBB","Binter Canarias","BINTER","Spain",""
"1733246192-1769","https://en.wikipedia.org/wiki/List_of_airline_codes","","IRJ","Bonyad Airlines","BONYAD AIR","Iran",""
"1733246192-1770","https://en.wikipedia.org/wiki/List_of_airline_codes","","IVR","Burundaiavia","RERUN","Kazakhstan",""
"1733246192-1771","https://en.wikipedia.org/wiki/List_of_airline_codes","0B","BLA","Blue Air","BLUE AIR","Romania",""
"1733246192-1772","https://en.wikipedia.org/wiki/List_of_airline_codes","KJ","LAJ","British Mediterranean Airways","BEE MED","United Kingdom","defunct"
"1733246192-1773","https://en.wikipedia.org/wiki/List_of_airline_codes","","LBY","Belle Air","ALBAN-BELLE","Albania",""
"1733246192-1774","https://en.wikipedia.org/wiki/List_of_airline_codes","","LED","Blom Geomatics","SWEEPER","Norway",""
"1733246192-1775","https://en.wikipedia.org/wiki/List_of_airline_codes","","LTL","Benin Littoral Airways","LITTORAL","Benin",""
"1733246192-1776","https://en.wikipedia.org/wiki/List_of_airline_codes","","LXJ","Bombardier Business Jet Solutions","FLEXJET","United States",""
"1733246192-1777","https://en.wikipedia.org/wiki/List_of_airline_codes","FB","LZB","Bulgaria Air","FLYING BULGARIA","Bulgaria",""
"1733246192-1778","https://en.wikipedia.org/wiki/List_of_airline_codes","","MBR","Brazilian Navy Aviation","BRAZILIAN NAVY","Brazil",""
"1733246192-1779","https://en.wikipedia.org/wiki/List_of_airline_codes","8N","NKF","Barents AirLink","NORDFLIGHT","Sweden","previously Nordkalottflyg"
"1733246192-1780","https://en.wikipedia.org/wiki/List_of_airline_codes","","NYB","Belgian Navy","BELGIAN NAVY","Belgium",""
"1733246192-1781","https://en.wikipedia.org/wiki/List_of_airline_codes","","OTA","Business Aviators","OUTLAW","United States","2014[10]"
"1733246192-1782","https://en.wikipedia.org/wiki/List_of_airline_codes","","OUF","Beijing Eofa International Jet","ELEMENT","China","2014[10]"
"1733246192-1783","https://en.wikipedia.org/wiki/List_of_airline_codes","","PEB","Benders Air","PALEMA","Sweden",""
"1733246192-1784","https://en.wikipedia.org/wiki/List_of_airline_codes","","POI","BGB Air","BOJBAN","Kazakhstan",""
"1733246192-1785","https://en.wikipedia.org/wiki/List_of_airline_codes","","PPS","Butte Aviation","PIPESTONE","United States",""
"1733246192-1786","https://en.wikipedia.org/wiki/List_of_airline_codes","","PVO","Bearing Supplies Limited","PROVOST","United Kingdom",""
"1733246192-1787","https://en.wikipedia.org/wiki/List_of_airline_codes","","RHD","Bond Air Services","RED HEAD","United Kingdom",""
"1733246192-1788","https://en.wikipedia.org/wiki/List_of_airline_codes","","RLR","Business Airfreight","RATTLER","United States",""
"1733246192-1789","https://en.wikipedia.org/wiki/List_of_airline_codes","","RRS","Boscombe Down DERA (Formation)","BLACKBOX","United Kingdom",""
"1733246192-1790","https://en.wikipedia.org/wiki/List_of_airline_codes","","SCJ","Business Jet Sweden","SCANJET","Sweden",""
"1733246192-1791","https://en.wikipedia.org/wiki/List_of_airline_codes","","SHT","British Airways Shuttle","SHUTTLE","United Kingdom","BA domestic services"
"1733246192-1792","https://en.wikipedia.org/wiki/List_of_airline_codes","","SKH","British Sky Broadcasting","SKYNEWS","United Kingdom",""
"1733246192-1793","https://en.wikipedia.org/wiki/List_of_airline_codes","","TBL","Bell Aliant Regional Communications","TELCO","Canada",""
"1733246192-1794","https://en.wikipedia.org/wiki/List_of_airline_codes","","TXB","Bell Helicopter Textron","TEXTRON","Canada",""
"1733246192-1795","https://en.wikipedia.org/wiki/List_of_airline_codes","","UKA","Buzzaway Limited","UKAY","United Kingdom",""
"1733246192-1796","https://en.wikipedia.org/wiki/List_of_airline_codes","","VLX","Biz Jet Charter","AVOLAR","United States",""
"1733246192-1797","https://en.wikipedia.org/wiki/List_of_airline_codes","","VOL","Blue Chip Jet","BLUE SPEED","Sweden",""
"1733246192-1798","https://en.wikipedia.org/wiki/List_of_airline_codes","","WFD","BAE Systems","AVRO","United Kingdom","Woodford Flight Test"
"1733246192-1799","https://en.wikipedia.org/wiki/List_of_airline_codes","","WTN","BAE Systems","TARNISH","United Kingdom","Warton Military Flight Ops"
"1733246192-1800","https://en.wikipedia.org/wiki/List_of_airline_codes","","XBO","Baseops International","","United States",""
"1733246192-1801","https://en.wikipedia.org/wiki/List_of_airline_codes","","XDA","Bureau Veritas","","France",""
"1733246192-1802","https://en.wikipedia.org/wiki/List_of_airline_codes","","XMS","British Airways Santa","SANTA","United Kingdom","Christmas charter flights"
"1733246192-1803","https://en.wikipedia.org/wiki/List_of_airline_codes","","ZBA","Boskovic Air Charters Limited","BOSKY","Kenya",""
"1733246192-1804","https://en.wikipedia.org/wiki/List_of_airline_codes","","JMP","Businesswings","JUMP RUN","Germany",""
"1733246192-1805","https://en.wikipedia.org/wiki/List_of_airline_codes","OB","BOV","Boliviana de Aviación","BOLIVIANA","Bolivia",""
"1733246192-1806","https://en.wikipedia.org/wiki/List_of_airline_codes","YB","BRJ","Borajet","BORA JET","Turkey",""
"1733246192-1807","https://en.wikipedia.org/wiki/List_of_airline_codes","MX","MXY","Breeze Airways","MOXY","United States",""
"1733246192-1808","https://en.wikipedia.org/wiki/List_of_airline_codes","VL","LHX","City Airlines","CITYAIR","Germany","LH subsidiary Allocated in 2023[12]"
"1733246192-1809","https://en.wikipedia.org/wiki/List_of_airline_codes","","SRJ","C Air Jet Airlines","SYRJET","Syria",""
"1733246192-1810","https://en.wikipedia.org/wiki/List_of_airline_codes","","TIP","C and M Aviation","TRANSPAC","United States",""
"1733246192-1811","https://en.wikipedia.org/wiki/List_of_airline_codes","","ORO","C N Air","CAPRI","Spain",""
"1733246192-1812","https://en.wikipedia.org/wiki/List_of_airline_codes","","RWG","C&M Airways","RED WING","United States",""
"1733246192-1813","https://en.wikipedia.org/wiki/List_of_airline_codes","","RMU","C.S.P., Societe","AIR-MAUR","Mauritania",""
"1733246192-1814","https://en.wikipedia.org/wiki/List_of_airline_codes","","CJZ","Caliber Jet","CALIBER JET","United States",""
"1733246192-1815","https://en.wikipedia.org/wiki/List_of_airline_codes","4A","DYN","California Pacific Airlines","AERODYNAMICS","United States","defunct"
"1733246192-1816","https://en.wikipedia.org/wiki/List_of_airline_codes","QC","CRC","Camair-Co","CAMAIRCO","Cameroon",""
"1733246192-1817","https://en.wikipedia.org/wiki/List_of_airline_codes","","QAI","Conquest Air","CHICKPEA","United States","2014[13]"
"1733246192-1818","https://en.wikipedia.org/wiki/List_of_airline_codes","","CBH","Corporate Eagle Management Services","CLUB HOUSE","United States","Allocated in 2014[14]"
"1733246192-1819","https://en.wikipedia.org/wiki/List_of_airline_codes","","CRF","Croix Rouge Francais","CROIX ROUGE","France","2014[13]"
"1733246192-1820","https://en.wikipedia.org/wiki/List_of_airline_codes","","CAA","Civil Aviation Authority of the Czech Republic","INSPECTOR","Czech Republic",""
"1733246192-1821","https://en.wikipedia.org/wiki/List_of_airline_codes","","BKR","Civil Air Patrol South Carolina Wing","BOX KAR","United States",""
"1733246192-1822","https://en.wikipedia.org/wiki/List_of_airline_codes","","BFN","Compagnie Nationale Naganagani","","Burkino Faso",""
"1733246192-1823","https://en.wikipedia.org/wiki/List_of_airline_codes","","AWX","Civil Aviation Authority Directorate of Airspace Policy","ALLWEATHER","United Kingdom",""
"1733246192-1824","https://en.wikipedia.org/wiki/List_of_airline_codes","","BBN","Civil Aviation Authority Airworthiness Division","BRABAZON","United Kingdom",""
"1733246192-1825","https://en.wikipedia.org/wiki/List_of_airline_codes","","ATQ","CHC Helicopters Nigeria","COLIBRI","Nigeria",""
"1733246192-1826","https://en.wikipedia.org/wiki/List_of_airline_codes","","APL","Corporativo Aereo Principal","AEREO PRINCIPAL","Mexico",""
"1733246192-1827","https://en.wikipedia.org/wiki/List_of_airline_codes","","AIO","Chief of Staff, United States Air Force","AIR CHIEF","United States",""
"1733246192-1828","https://en.wikipedia.org/wiki/List_of_airline_codes","","AID","Christian Konig - Century Airbirds","CENTURY AIRBIRD","Austria",""
"1733246192-1829","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Cambridge Recurrent Training","CAMBRIDGE","United Kingdom",""
"1733246192-1830","https://en.wikipedia.org/wiki/List_of_airline_codes","","","California Department of Forestry and Fire Protection","CALFIRE","United States",""
"1733246192-1831","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Careflight Queensland","SAMARITAN","Australia",""
"1733246192-1832","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Castle Air Charter","CASTLEFILM","United Kingdom",""
"1733246192-1833","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Challenges Aviation","TIGER","United Kingdom",""
"1733246192-1834","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Challenges Limited","HERITAGE","United Kingdom",""
"1733246192-1835","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Cheqair","ASTON","United Kingdom",""
"1733246192-1836","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Clacton Aero Club","CLASSIC WINGS","United Kingdom",""
"1733246192-1837","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Coral Sun Airways","CORAL SUN","Kiribati",""
"1733246192-1838","https://en.wikipedia.org/wiki/List_of_airline_codes","","","Cowan Group","COWAN","United States",""
"1733246192-1839","https://en.wikipedia.org/wiki/List_of_airline_codes","","SMW","Carpatair Flight Service","SMART WINGS","Romania","Was Carpatair Flight Training"
"1733246192-1840","https://en.wikipedia.org/wiki/List_of_airline_codes","","CCL","Cambodia Airlines","ANGKOR WAT","Cambodia",""
"1733246192-1841","https://en.wikipedia.org/wiki/List_of_airline_codes","KR","KME","Cambodia Airways","GIANT IBIS","Cambodia",""
"1733246192-1842","https://en.wikipedia.org/wiki/List_of_airline_codes","","CCB","Caricom Airways","DOLPHIN","Barbados",""
"1733246192-1843","https://en.wikipedia.org/wiki/List_of_airline_codes","","CYH","China Southern Airlines Henan","YUHAO","China",""
"1733246192-1844","https://en.wikipedia.org/wiki/List_of_airline_codes","","CFB","Chongqing Forebase General Aviation","FOREBASE","China",""
"1733246192-1845","https://en.wikipedia.org/wiki/List_of_airline_codes","","XCA","Colt Transportes Aereos","COLT","Brazil",""
"1733246192-1846","https://en.wikipedia.org/wiki/List_of_airline_codes","","GCY","CHC Global Operations International","HELIBIRD","United Kingdom",""
"1733246192-1847","https://en.wikipedia.org/wiki/List_of_airline_codes","","AUN","Common Sky","COMMON SKY","Austria",""
"1733246192-1848","https://en.wikipedia.org/wiki/List_of_airline_codes","","CBI","Cabi","CABI","Ukraine",""
"1733246192-1849","https://en.wikipedia.org/wiki/List_of_airline_codes","","CPI","Compagnia Aeronautica Italiana","AIRCAI","Italy",""
"1733246192-1850","https://en.wikipedia.org/wiki/List_of_airline_codes","5C","ICL","Challenge Airlines IL","CAL","Israel","ex CAL-Cargo Air Lines"
"1733246192-1851","https://en.wikipedia.org/wiki/List_of_airline_codes","","CMR","CAM Air Management","CAMEO","United Kingdom",""
"1733246192-1852","https://en.wikipedia.org/wiki/List_of_airline_codes","","CTZ","CATA Línea Aérea","CATA","Argentina",""
"1733246192-1853","https://en.wikipedia.org/wiki/List_of_airline_codes","","CCF","CCF Manager Airline","TOMCAT","Germany",""
"1733246192-1854","https://en.wikipedia.org/wiki/List_of_airline_codes","","CED","CEDTA (Compañía Ecuatoriana De Transportes Aéreos)","CEDTA","Ecuador",""
"1733246192-1855","https://en.wikipedia.org/wiki/List_of_airline_codes","","HBI","CHC Denmark","HELIBIRD","Denmark",""
"1733246192-1856","https://en.wikipedia.org/wiki/List_of_airline_codes","","HEM","CHC Helicopter","HEMS","Australia",""
"1733246192-1857","https://en.wikipedia.org/wiki/List_of_airline_codes","AW","SCH","CHC Airways","SCHREINER","Netherlands","formerly Schreiner Airways. ICAO code in use by another company, call sign no longer allocated"
"1733246192-1858","https://en.wikipedia.org/wiki/List_of_airline_codes","","HKS","CHC Helikopter Service","HELIBUS","Norway",""
"1733246192-1859","https://en.wikipedia.org/wiki/List_of_airline_codes","","VCI","CI-Tours","CI-TOURS","Ivory Coast",""
"1733246192-1860","https://en.wikipedia.org/wiki/List_of_airline_codes","","CKC","CKC Services","","United States",""
"1733246192-1861","https://en.wikipedia.org/wiki/List_of_airline_codes","","CMZ","CM Stair","CEE-EM STAIRS","Mauritania",""
"1733246192-1862","https://en.wikipedia.org/wiki/List_of_airline_codes","","CNT","Centre national d'études des télécommunications - C.N.E.T.","KNET","France",""
"1733246192-1863","https://en.wikipedia.org/wiki/List_of_airline_codes","","OAP","COAPA AIR","COAPA","Mexico",""
"1733246192-1864","https://en.wikipedia.org/wiki/List_of_airline_codes","","PDR","COMAV","SPEEDSTER","Namibia",""
"1733246192-1865","https://en.wikipedia.org/wiki/List_of_airline_codes","","CRH","CRI Helicopters Mexico","HELI-MEX","Mexico",""
"1733246192-1866","https://en.wikipedia.org/wiki/List_of_airline_codes","","IRO","CSA Air","IRON AIR","United States",""
"1733246192-1867","https://en.wikipedia.org/wiki/List_of_airline_codes","","CSE","CSE Aviation","OXFORD","United Kingdom",""
"1733246192-1868","https://en.wikipedia.org/wiki/List_of_airline_codes","","CTQ","CTK Network Aviation","CITYLINK","Ghana",""
"1733246192-1869","https://en.wikipedia.org/wiki/List_of_airline_codes","","CBR","Cabair College of Air Training","CABAIR","United Kingdom",""
"1733246192-1870","https://en.wikipedia.org/wiki/List_of_airline_codes","","CVE","Cabo Verde Express","KABEX","Cape Verde",""
"1733246192-1871","https://en.wikipedia.org/wiki/List_of_airline_codes","","CWD","Caernarfon Airworld","AMBASSADOR","United Kingdom",""
"1733246192-1872","https://en.wikipedia.org/wiki/List_of_airline_codes","","CXE","Caicos Express Airways","CAICOS","Turks and Caicos Islands",""
"1733246192-1873","https://en.wikipedia.org/wiki/List_of_airline_codes","","CCE","Cairo Air Transport Company","","Egypt",""
"1733246192-1874","https://en.wikipedia.org/wiki/List_of_airline_codes","","CGC","Cal Gulf Aviation","CAL-GULF","São Tomé and Príncipe",""
"1733246192-1875","https://en.wikipedia.org/wiki/List_of_airline_codes","","REZ","Cal-West Aviation","CAL AIR","United States",""
"1733246192-1876","https://en.wikipedia.org/wiki/List_of_airline_codes","","CSL","California Air Shuttle","CALIFORNIA SHUTTLE","United States",""
"1733246192-1877","https://en.wikipedia.org/wiki/List_of_airline_codes","3C","CMV","Calima Aviación","CALIMA","Spain",""
"1733246192-1878","https://en.wikipedia.org/wiki/List_of_airline_codes","MO","CAV","Calm Air","CALM AIR","Canada",""
"1733246192-1879","https://en.wikipedia.org/wiki/List_of_airline_codes","R9","CAM","Camai Air","AIR CAMAI","United States","Village Aviation"
"1733246192-1880","https://en.wikipedia.org/wiki/List_of_airline_codes","K6","KHV","Cambodia Angkor Air","ANGKOR AIR","Cambodia",""
"1733246192-1881","https://en.wikipedia.org/wiki/List_of_airline_codes","UY","UYC","Cameroon Airlines","CAM-AIR","Cameroon","defunct"
"1733246192-1882","https://en.wikipedia.org/wiki/List_of_airline_codes","","HSO","Campania Helicopteros De Transporte","HELIASTURIAS","Spain",""
"1733246192-1883","https://en.wikipedia.org/wiki/List_of_airline_codes","C6","CJA","CanJet","CANJET","Canada",""
"1733246192-1884","https://en.wikipedia.org/wiki/List_of_airline_codes","","PIL","Canada Jet Charters","PINNACLE","Canada",""
"1733246192-1885","https://en.wikipedia.org/wiki/List_of_airline_codes","CP","CDN","Canadian Airlines","CANADIAN","Canada","defunct"
"1733246192-1886","https://en.wikipedia.org/wiki/List_of_airline_codes","","CTG","Canadian Coast Guard","CANADIAN COAST GUARD","Canada",""
"1733246192-1887","https://en.wikipedia.org/wiki/List_of_airline_codes","","HIA","Canadian Eagle Aviation","HAIDA","Canada",""
"1733246192-1888","https://en.wikipedia.org/wiki/List_of_airline_codes","","CFC","Canadian Forces","CANFORCE","Canada",""
"1733246192-1889","https://en.wikipedia.org/wiki/List_of_airline_codes","","BZD","Canadian Global Air Ambulance","BLIZZARD","Canada","ICAO Code and callsign no longer allocated"
"1733246192-1890","https://en.wikipedia.org/wiki/List_of_airline_codes","","CDN","Canadian Helicopters","CANADIAN","Canada",""
"1733246192-1891","https://en.wikipedia.org/wiki/List_of_airline_codes","","TKR","Canadian Interagency Forest Fire Centre","TANKER","Canada","ICAO Code and callsign no longer allocated"
"1733246192-1892","https://en.wikipedia.org/wiki/List_of_airline_codes","","XNC","Canadian National Telecommunications","","Canada","ICAO Code and callsign no longer allocated"
"1733246192-1893","https://en.wikipedia.org/wiki/List_of_airline_codes","7F","AKT","Canadian North","ARCTIC","Canada","Air Norterra"
"1733246192-1894","https://en.wikipedia.org/wiki/List_of_airline_codes","CP","CPC","Canadian Pacific Airlines","EMPRESS","Canada","ICAO Code and callsign no longer allocated"
"1733246192-1895","https://en.wikipedia.org/wiki/List_of_airline_codes","","CDR","Canadian Regional Airlines","CANADIAN REGIONAL","Canada","ICAO Code and callsign no longer allocated"
"1733246192-1896","https://en.wikipedia.org/wiki/List_of_airline_codes","","CWH","Canadian Warplane Heritage Museum","WARPLANE HERITAGE","Canada",""
"1733246192-1897","https://en.wikipedia.org/wiki/List_of_airline_codes","W2","CWA","Canadian Western Airlines","CANADIAN WESTERN","Canada",""
"1733246192-1898","https://en.wikipedia.org/wiki/List_of_airline_codes","","CWW","Canair","CANAIR","China",""
"1733246192-1899","https://en.wikipedia.org/wiki/List_of_airline_codes","","CUI","Cancun Air","CAN-AIR","Mexico",""
"1733246192-1900","https://en.wikipedia.org/wiki/List_of_airline_codes","9K","KAP","Cape Air","CAIR","United States",""
"1733246192-1901","https://en.wikipedia.org/wiki/List_of_airline_codes","","CTO","Cape Air Transport","","Australia",""
"1733246192-1902","https://en.wikipedia.org/wiki/List_of_airline_codes","","SEM","Cape Central Airways","SEMO","United States",""
"1733246192-1903","https://en.wikipedia.org/wiki/List_of_airline_codes","","CMY","Cape Smythe Air","CAPE SMYTHE AIR","United States",""
"1733246192-1904","https://en.wikipedia.org/wiki/List_of_airline_codes","","CPX","Capital Air Service","CAPAIR","United States",""
"1733246192-1905","https://en.wikipedia.org/wiki/List_of_airline_codes","","CPD","Capital Airlines","CAPITAL DELTA","Kenya",""
"1733246192-1906","https://en.wikipedia.org/wiki/List_of_airline_codes","","NCP","Capital Airlines Limited","CAPITAL SHUTTLE","Nigeria",""
"1733246192-1907","https://en.wikipedia.org/wiki/List_of_airline_codes","PT","CCI","Capital Cargo International Airlines","CAPPY","United States","Allocation deleted 2013"
"1733246192-1908","https://en.wikipedia.org/wiki/List_of_airline_codes","","CCQ","Capital City Air Carriers","CAP CITY","United States",""
"1733246192-1909","https://en.wikipedia.org/wiki/List_of_airline_codes","","EGL","Capital Trading Aviation","PRESTIGE","United Kingdom",""
